Release Year,Origin/Ethnicity,Director,Cast
1901,American,,
1901,American,,
1901,American,,
1901,American,,
1902,American,"George S. Fleming, Edwin S. Porter",
1903,American,Cecil Hepworth,May Clark
1903,American,Edwin S. Porter,
1904,American,Wallace McCutcheon,
1905,American,Edwin Stanton Porter,
1905,American,Edwin Stanton Porter,
1906,American,"Wallace McCutcheon, Edwin S. Porter",
1906,American,"Francis J. Marion, Wallace McCutcheon",
1906,American,Edwin S. Porter,
1907,American,"Wallace McCutcheon, Ediwin S. Porter","William Craven, Florence Lawrence"
1907,American,,
1907,American,Edwin Stanton Porter,"Bertha Regustus, Edward Boulden"
1908,American,D. W. Griffith,"Arthur V. Johnson, Linda Arvidson"
1908,American,D. W. Griffith,D. W. Griffith
1908,American,D.W. Griffith,"Harry Solter, Linda Arvidson"
1908,American,D. W. Griffith,Charles Inslee
1908,American,,Tom Ricketts
1908,American,D. W. Griffith,"Florence Auer, John G. Adolfi"
1909,American,D. W. Griffith,Marion Leonard
1909,American,D. W. Griffith,Arthur V. Johnson
1909,American,D. W. Griffith,
1909,American,D.W. Griffith,Marion Leonard
1910,American,D.W. Griffith,"Mary Pickford, Mack Sennett"
1910,American,J. Searle Dawley,"Marc McDermott, Charles Stanton Ogle"
1910,American,J. Searle Dawley,"Augustus Phillips, Charles Stanton Ogle, Mary Fuller"
1910,American,,
1910,American,D.W. Griffith,Henry B. Walthall
1910,American,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor"
1910,American,,"Anna Rosemond, George Barnes, Frank H. Crane"
1910,American,D. W. Griffith,"Mary Pickford, Henry B. Walthall"
1910,American,D.W. Griffith,"Clara T. Bracy, Mary Pickford, Mack Sennett"
1910,American,Otis Turner (unconfirmed),Bebe Daniels
1911,American,,"William Garwood, Marguerite Snow"
1911,American,Oscar Apfel,"Charles Ogle, Natalie Jerome"
1911,American,Colin Campbell,Edgar G. Wynn
1911,American,,William Garwood
1911,American,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell"
1911,American,,William Garwood
1911,American,Thomas H. Ince,"Mary Pickford, King Baggot"
1912,American,Thomas H. Ince,"Francis Ford, Ethel Grandin"
1912,American,Lucius Henderson,James Cruze
1912,American,Harold M. Shaw,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Bigelow Cooper"
1912,American,D. W. Griffith,"Elmer Booth, Lillian Gish"
1912,American,David Wark Griffith,"Mary Pickford, Lionel Barrymore, Lillian Gish"
1912,American,,"William Garwood, Florence La Badie"
1912,American,Theodore Marston,"William Garwood, Marguerite Snow"
1912,American,D. W. Griffith,"Lillian Gish, Dorothy Gish"
1913,American,,
1913,American,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield"
1913,American,,Jean Acker
1913,American,Mack Sennett,"Ford Sterling, Mabel Normand"
1913,American,"Herbert Brenon, Carl Laemmle",King Baggot
1913,American,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline"
1913,American,,"Earle Foxe, Irene Boyle, Stuart Holmes"
1913,American,Raymond B. West,Louise Glaum
1913,American,Allan Dwan,"J. Warren Kerrigan, Pauline Bush"
1913,American,D.W. Griffith,"Mae Marsh, Claire McDowell"
1914,American,D. W. Griffith,"Henry B. Walthall, Blanche Sweet"
1914,American,D.W. Griffith,"Donald Crisp, Lilian Gish"
1914,American,Henry Lehrman,"Charlie Chaplin, Ford Sterling, Chester Conklin"
1914,American,"Oscar Apfel, Cecil B. DeMille","Edward Abeles, Sydney Deane, Joseph Singleton"
1914,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Phyllis Allen"
1914,American,"Oscar Apfel, Cecil B. DeMille","Robert Edeson, Theodore Roberts"
1914,American,Rollin S. Sturgeon,"Edith Storey, William Desmond Taylor, George Holt"
1914,American,Mabel Normand,"Charlie Chaplin, Mabel Normand, Edgar Kennedy"
1914,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Alice Davenport"
1914,American,James Kirkwood,"Mary Pickford, Owen Moore, Isobel Vernon"
